name,city,country,address,email,phone,website,instagram,facebook,fit_score,shows_live_sport,sport_signals
"Walkabout Manchester Printworks","Manchester","GB","Printworks","","03300949251","https://www.walkaboutbars.co.uk/","https://www.instagram.com/Walkaboutbars","https://www.facebook.com/Walkabout","70","true","live sport | premier league | champions league | big screen | screens"
"Sports Pub Madrid","Madrid","ES","Calle Marques de Santa Ana, 11","","","https://sportsbarmadrid.com/","https://www.instagram.com/sportsbarmadrid","https://www.facebook.com/sportsbarmadrid","70","true","premier league | la liga | serie a | ligue 1 | bundesliga | champions league"
"Belushi's Paris Gare du Nord","Paris","FR","5 Rue de Dunkerque, 75010","","+0-208-600-5210","https://belushis.com/paris-gare-du-nord","","","70","true","live sport | premier league | la liga | serie a | champions league | screens"
"Bat & Ball","London","GB","50 Earlham Street, WC2H 9LJ","","","https://www.thebatandball.com/","https://www.instagram.com/batandballldn","https://www.facebook.com/batandballldn","55","true","live sport | premier league"
"Faltering Fullback","London","GB","19 Perth Road, N4 3HB","","167.6500244","http://falteringfullback.com/","https://www.instagram.com/thefalteringfullback","","55","true","pub quiz"
"Bar Kick","London","GB","127 Shoreditch High Street, E1 6JE","","02077398700","https://www.barkicklondon.com/","https://www.instagram.com/urbanpubsandbars","https://www.facebook.com/UrbanPubsandBars","55","true","live sport | screens"
"Clissold Park Tavern","London","GB","177 Green Lanes, N16 9DB","","","http://clissoldparktavern.com/","https://www.instagram.com/p","https://www.facebook.com/clissoldparktavern","55","true","pub quiz"
"Moretown Belle","London","GB","5 Thomas More Street, E1W 1YY","","352728786","https://www.bellepubsandrestaurants.co.uk/moretownbelle","https://www.instagram.com/themoretownbellex","https://www.facebook.com/moretownbelle","55","true","screens"
"NFL Madrid Bar","Madrid","ES","Calle Laurel, 4","","","https://nflmadrid.com/","","https://www.facebook.com/tr","55","true","screens"
"Belushi's London Bridge","London","GB","161-165 Borough High Street, SE1 1HR","","+0-208-600-5210","https://www.belushis.com/","https://www.instagram.com/belushis","","55","true","live sport | premier league"
"Urban Sports Bar La Defense","Paris","FR","85 Avenue Francois Arago, 92000 Nanterre","","61551880779863","https://www.urbansportsbar.fr/","https://www.instagram.com/urbansports_bar","https://www.facebook.com/profile.php","55","true","laliga | écran géant"
"O'Neills Printworks","Manchester","GB","Printworks","","1411936175","https://www.oneills.co.uk/","https://www.instagram.com/oneillspubs","https://www.facebook.com/oneillspubs","55","true","live sport"
"De Hems","London","GB","11 Macclesfield Street, W1D 5BW","","10343260715123811","https://www.dehemspub.co.uk/","https://www.instagram.com/dehems_london","https://www.facebook.com/DeHemsDutchCafeBar","35","false",""
"BOX Piccadilly","London","GB","21-23 Shaftesbury Avenue, W1D 7EF","","","https://www.theboxbar.co.uk/","","","35","false",""
"The Pilgrim","London","GB","247 Kennington Lane, SE11 5QU","","","https://www.thepilgrimpub.com/","","","35","false",""
"Jolly Gardeners Putney","London","GB","61-63 Lacy Road, SW15 1NT","","10343260715123811","https://www.thejollygardenerssw15.co.uk/","https://www.instagram.com/thejollygardenerssw15","https://www.facebook.com/thejollygardenerssw15","35","false",""
"Cafe Kick","London","GB","43 Exmouth Market, EC1R 4QL","","","http://exmouth.london/cafe-kick/","https://www.instagram.com/cafe_kick","https://www.facebook.com/cafekickexmouthmarket","35","false",""
"The Volley","London","GB","211 Old Street, EC1V 9NR","","1711541401","https://thevolleylondon.com/","http://www.instagram.com/thevolleylondon","","35","false",""
"La Fontana de Oro","Madrid","ES","Calle de la Victoria, 1","","","http://www.fontanadeoro.com/","","","35","false",""
"Offside Sports Pub","Milan","IT","Via Losanna, 46, 20154","","","https://www.offsidesportspub.it/","","","35","false",""
"Overtime Sports Pub","Milan","IT","Via Luigi Settembrini, 36, 20124","","","https://www.overtimesportspub.it/","","","35","false",""
"BOX Deansgate","Manchester","GB","Deansgate","","","https://www.theboxbar.co.uk/","","","35","false",""
"Big Penny Social","London","GB","1 Priestley Way, E17 6AL","","","https://bigpennysocial.co/","","","25","false",""
"Leyton Star","London","GB","116 High Road, E15 2BX","","","https://leytonstar.co/","","","25","false",""
"Beerhouse Madrid","Madrid","ES","Calle del Cardenal Cisneros, 16","","","https://beerhouse.es/","","","25","false",""
"Arena Piola","Milan","IT","Via Filippino Lippi, 7","","","","","","25","false",""
"Carlsberg Ol","Milan","IT","Bastioni di Porta Nuova, 9","","","","","","25","false",""
"Murphy's Law","Milan","IT","Via Montevideo, 3","","","","","","25","false",""
"Mind the Gap","Milan","IT","Via Curtatone, 5","","","","","","25","false",""
"La Birreria Italiana Darsena","Milan","IT","Piazzale Antonio Cantore, 4","","","","","","25","false",""
"HOF - Hall of Fame Sport Bistrot","Milan","IT","Piazza Piemonte, 8","","","","","","25","false",""
"Bibendum","Milan","IT","Via Adelaide Ristori, 2","","","","","","25","false",""
"Isola della Birra","Milan","IT","Via Medardo Rosso, 18","","","","","","25","false",""
"Pils Pub","Milan","IT","Via Agostino Bertani, 2","","","","","","25","false",""
"La Belle Alliance","Milan","IT","Via Evangelista Torricelli, 1","","","","","","25","false",""
"Re Artu Cafe","Milan","IT","Corso Lodi, 52","","","","","","25","false",""
"The Saints and The Scholars","Milan","IT","Via Govone Giuseppe Generale, 23","","","","","","25","false",""
"Spiller Milano Duomo","Milan","IT","Via Larga, 8","","","","","","25","false",""
"Hats Off Restaurant & Bar","Milan","IT","Via Orti, 16","","","","","","25","false",""
"Football English Pub","Milan","IT","Zona Duomo","","","","","","25","false",""
"Fulham Pier","London","GB","SW6 6HH","","","https://www.fulhampier.com/","","","25","false",""
"442 Sports Pub","Milan","IT","Via Giulio Cesare Procaccini, 61, 20154","","","http://www.fourfourtwo.it/","","","25","false",""
"Corcoran's Clichy","Paris","FR","110 boulevard de Clichy, 75018","","","","","","25","false",""
"The Moose","Paris","FR","16 rue des Quatre Vents, 75006","","","","","","25","false",""
"Le Longchamp","Paris","FR","9 rue du Faubourg Montmartre, 75009","","","","","","25","false",""
"French Flair","Paris","FR","75 bis boulevard de Clichy, 75018","","","","","","25","false",""
"La Terrasse d'Italie","Paris","FR","21 avenue d'Italie, 75013","","","","","","25","false",""
"Bal Rock","Paris","FR","161 rue Montmartre, 75002","","","","","","25","false",""
"Hall's Beer Tavern","Paris","FR","68 rue Saint-Denis, 75001","","","","","","25","false",""
"Pub Saint-Hilaire","Paris","FR","2 rue Valette, 75005","","","","","","25","false",""
"Le Madeleine","Paris","FR","39 boulevard de Bonne Nouvelle, 75010","","","","","","25","false",""
"Losserand Cafe","Paris","FR","77 rue Raymond Losserand, 75014","","","","","","25","false",""
"Le Bistrot du Croissant","Paris","FR","146 rue Montmartre, 75002","","","","","","25","false",""
"Comptoir Rugby Bar","Paris","FR","354 rue de Vaugirard, 75015","","","","","","25","false",""
"Le Grand Pan","Paris","FR","20 rue Rosenwald, 75015","","","","","","25","false",""
"The Highlander Scottish Pub","Paris","FR","8 rue de Nevers, 75006","","","","","","25","false",""
"Bel'Air Bar Jaune","Paris","FR","6 Rue Germain Pilon, 75018","","","","","","25","false",""
"Le Multiplex","Paris","FR","27 Rue Louise-Emilie de la Tour d'Auvergne, 75009","","","","","","25","false",""
"Le Fut'Rax","Paris","FR","2 Rue d'Hauteville, 75010","","","","","","25","false",""
"Le Komptoir","Paris","FR","27 rue Quincampoix, 75004","","","","","","25","false",""
"Le Charles Quint","Paris","FR","145 Boulevard du Montparnasse, 75006","","","","","","25","false",""
"Little Big Bear","Paris","FR","45 rue Monsieur le Prince, 75006","","","","","","25","false",""
"Cotte 23","Paris","FR","23 rue de Cotte, 75012","","","","","","25","false",""
"Le Nul Bar Ailleurs","Paris","FR","18 rue de Cotte, 75012","","","","","","25","false",""
"Le Syphax","Paris","FR","26 rue de Chateaudun, 75009","","","","","","25","false",""
"Chez Papa 19","Paris","FR","13 Rue du Pre Saint-Gervais, 75019","","","","","","25","false",""
"Shack Bar & Grill","Manchester","GB","Northern Quarter","","","","","","25","false",""
"Piccadilly Tavern","Manchester","GB","Piccadilly","","","","","","25","false",""
"The Lost Dene","Manchester","GB","Deansgate","","","","","","25","false",""
"Directors Box Manchester","Manchester","GB","Manchester city centre","","","","","","25","false",""
"Seven Oaks","Manchester","GB","Manchester city centre","","","","","","25","false",""
"Old Wellington","Manchester","GB","Cathedral Gates","","","","","","25","false",""
"The Crafty Pig","Manchester","GB","Northern Quarter","","","https://thecraftypig.co.uk/","","","25","false",""
"Town Hall Tavern","Manchester","GB","Tib Lane","","","","","","25","false",""
"English Lounge","Manchester","GB","High Street","","","","","","25","false",""
"Sawyers Arms","Manchester","GB","Deansgate","","","","","","25","false",""
"The Oxnoble","Manchester","GB","Liverpool Road","","","","","","25","false",""
"Cafe Football","Manchester","GB","Trafford Park","","","","","","25","false",""
"The Brotherhood of Pursuits and Pastimes","Manchester","GB","Deansgate","","","","","","25","false",""
"O'Malleys","Manchester","GB","City Centre","","","","","","25","false",""
"The Waldorf","Manchester","GB","Piccadilly","","","","","","25","false",""
"Beech Inn Chorlton","Manchester","GB","Chorlton-cum-Hardy","","","","","","25","false",""
"Dubliners Madrid","Madrid","ES","Calle de Espoz y Mina, 7","","","","","","25","false",""
"O'Connell St Pub","Madrid","ES","Calle Espoz y Mina, 7","","","","","","25","false",""
"QW Bar & Pub","Madrid","ES","Calle de Vergara, 12","","","","","","25","false",""
"The Irish Rover","Madrid","ES","Avenida Brasil, 7","","","","","","25","false",""
"Beer's Corner","Madrid","ES","Calle de Arriaga, 19","","","","","","25","false",""
"Cerveceria Deportiva Sports Bar","Madrid","ES","Calle de las Veneras, 7","","","","","","25","false",""
"Cafe Mario Bar","Madrid","ES","Calle de Rodriguez San Pedro, 44","","","","","","25","false",""
"38 Sport Pub","Madrid","ES","Calle Preciados, 38","","","","","","25","false",""
"Restaurante Panenka","Madrid","ES","Calle de Orense, 6","","","","","","25","false",""
"Bar Deportivo Prosperidad","Madrid","ES","Calle de Gabriel Lobo, 23","","","","","","25","false",""
"Bar Akelarre","Madrid","ES","Calle Nicolasa Gomez, 104","","","","","","25","false",""
