status,name,city,country,address,email,phone,website,league
"EMAIL READY","BrewDog Doghouse Manchester","Manchester","GB","Fountain Street","info@stagheaddesigns.com","","https://www.brewdog.com/","premier-league"
"EMAIL READY","Pils Pub","Milan","IT","Via Agostino Bertani, 2","info@pilspub.com","","https://www.pilspub.com","serie-a"
"EMAIL READY","Cafe Oz Denfert-Rochereau","Paris","FR","3 place Denfert-Rochereau, 75014","bordeaux@cafe-oz.com","","https://www.cafe-oz.com/","ligue-1"
"EMAIL READY","O'Sullivans Clichy","Paris","FR","92 boulevard de Clichy, 75018","cergy@osullivans-pubs.com","","https://www.osullivans-pubs.com/","ligue-1"
"EMAIL READY","Pub Saint-Hilaire","Paris","FR","2 rue Valette, 75005","...@saint-hilaire.fr","","https://www.sainthilaire.fr","ligue-1"
"PHONE ONLY","Bar Kick","London","GB","127 Shoreditch High Street, E1 6JE","","02077398700","https://www.barkicklondon.com/","premier-league"
"PHONE ONLY","Belushi's London Bridge","London","GB","161-165 Borough High Street, SE1 1HR","","+0-208-600-5210","https://www.belushis.com/","premier-league"
"PHONE ONLY","Faltering Fullback","London","GB","19 Perth Road, N4 3HB","","167.6500244","http://falteringfullback.com/","premier-league"
"PHONE ONLY","Moretown Belle","London","GB","5 Thomas More Street, E1W 1YY","","352728786","https://www.bellepubsandrestaurants.co.uk/moretownbelle","premier-league"
"PHONE ONLY","The Sporting Page","London","GB","6 Camera Place, SW10 0BH","","1754559107993","https://www.thesportingpage.co.uk/","premier-league"
"PHONE ONLY","The Volley","London","GB","211 Old Street, EC1V 9NR","","1711541401","https://thevolleylondon.com/","premier-league"
"PHONE ONLY","O'Neills Printworks","Manchester","GB","Printworks","","1411936175","https://www.oneills.co.uk/","premier-league"
"PHONE ONLY","Sawyers Arms","Manchester","GB","Deansgate","","01275859869","https://www.sawyersarms.co.uk","premier-league"
"PHONE ONLY","Walkabout Manchester Printworks","Manchester","GB","Printworks","","03300949251","https://www.walkaboutbars.co.uk/","premier-league"
"PHONE ONLY","La Belle Alliance","Milan","IT","Via Evangelista Torricelli, 1","","+390299246410","https://www.labellealliance.it","serie-a"
"PHONE ONLY","Murphy's Law","Milan","IT","Via Montevideo, 3","","+390283242151","https://www.murphyslaw.it","serie-a"
"PHONE ONLY","Belushi's Paris Gare du Nord","Paris","FR","5 Rue de Dunkerque, 75010","","+0-208-600-5210","https://belushis.com/paris-gare-du-nord","ligue-1"
"PHONE ONLY","Chez Papa 19","Paris","FR","13 Rue du Pre Saint-Gervais, 75019","","+33142083820","https://www.chezpapa19.fr","ligue-1"
"PHONE ONLY","Cotte 23","Paris","FR","23 rue de Cotte, 75012","","+33180065305","https://cotte23.fr","ligue-1"
"PHONE ONLY","La Terrasse d'Italie","Paris","FR","21 avenue d'Italie, 75013","","+33142169789","https://laterrasseditalie.fr","ligue-1"
"PHONE ONLY","Le Grand Pan","Paris","FR","20 rue Rosenwald, 75015","","+33142500250","https://www.legrandpan.fr","ligue-1"
"PHONE ONLY","Urban Sports Bar La Defense","Paris","FR","85 Avenue Francois Arago, 92000 Nanterre","","61551880779863","https://www.urbansportsbar.fr/","ligue-1"
"NEEDS LOOKUP","Bat & Ball","London","GB","50 Earlham Street, WC2H 9LJ","","","https://www.thebatandball.com/","premier-league"
"NEEDS LOOKUP","Big Penny Social","London","GB","1 Priestley Way, E17 6AL","","","https://bigpennysocial.co/","premier-league"
"NEEDS LOOKUP","BOX Piccadilly","London","GB","21-23 Shaftesbury Avenue, W1D 7EF","","","https://www.theboxbar.co.uk/","premier-league"
"NEEDS LOOKUP","Cafe Kick","London","GB","43 Exmouth Market, EC1R 4QL","","","http://exmouth.london/cafe-kick/","premier-league"
"NEEDS LOOKUP","Clissold Park Tavern","London","GB","177 Green Lanes, N16 9DB","","","http://clissoldparktavern.com/","premier-league"
"NEEDS LOOKUP","De Hems","London","GB","11 Macclesfield Street, W1D 5BW","","","https://www.dehemspub.co.uk/","premier-league"
"NEEDS LOOKUP","Feed the Yak","London","GB","2 Sayer Street, SE17 1FG","","","https://www.feedtheyak.com/","premier-league"
"NEEDS LOOKUP","Fulham Pier","London","GB","SW6 6HH","","","https://www.fulhampier.com/","premier-league"
"NEEDS LOOKUP","Jolly Gardeners Putney","London","GB","61-63 Lacy Road, SW15 1NT","","","https://www.thejollygardenerssw15.co.uk/","premier-league"
"NEEDS LOOKUP","Leyton Star","London","GB","116 High Road, E15 2BX","","","https://leytonstar.co/","premier-league"
"NEEDS LOOKUP","Sports Bar & Grill Marylebone","London","GB","Marylebone","","","https://www.sportsbarandgrill.co.uk/","premier-league"
"NEEDS LOOKUP","The Pilgrim","London","GB","247 Kennington Lane, SE11 5QU","","","https://www.thepilgrimpub.com/","premier-league"
"NEEDS LOOKUP","38 Sport Pub","Madrid","ES","Calle Preciados, 38","","","","la-liga"
"NEEDS LOOKUP","Bar Akelarre","Madrid","ES","Calle Nicolasa Gomez, 104","","","","la-liga"
"NEEDS LOOKUP","Bar Deportivo Prosperidad","Madrid","ES","Calle de Gabriel Lobo, 23","","","","la-liga"
"NEEDS LOOKUP","Beer's Corner","Madrid","ES","Calle de Arriaga, 19","","","","la-liga"
"NEEDS LOOKUP","Beerhouse Madrid","Madrid","ES","Calle del Cardenal Cisneros, 16","","","https://beerhouse.es/","la-liga"
"NEEDS LOOKUP","Cafe Mario Bar","Madrid","ES","Calle de Rodriguez San Pedro, 44","","","","la-liga"
"NEEDS LOOKUP","Cerveceria Deportiva Sports Bar","Madrid","ES","Calle de las Veneras, 7","","","","la-liga"
"NEEDS LOOKUP","Dubliners Madrid","Madrid","ES","Calle de Espoz y Mina, 7","","","","la-liga"
"NEEDS LOOKUP","La Fontana de Oro","Madrid","ES","Calle de la Victoria, 1","","","http://www.fontanadeoro.com/","la-liga"
"NEEDS LOOKUP","NFL Madrid Bar","Madrid","ES","Calle Laurel, 4","","","https://nflmadrid.com/","la-liga"
"NEEDS LOOKUP","O'Connell St Pub","Madrid","ES","Calle Espoz y Mina, 7","","","","la-liga"
"NEEDS LOOKUP","QW Bar & Pub","Madrid","ES","Calle de Vergara, 12","","","","la-liga"
"NEEDS LOOKUP","Restaurante Panenka","Madrid","ES","Calle de Orense, 6","","","https://www.restaurantepanenka.com","la-liga"
"NEEDS LOOKUP","Sports Pub Madrid","Madrid","ES","Calle Marques de Santa Ana, 11","","","https://sportsbarmadrid.com/","la-liga"
"NEEDS LOOKUP","The Irish Rover","Madrid","ES","Avenida Brasil, 7","","","https://www.theirishrover.com","la-liga"
"NEEDS LOOKUP","Beech Inn Chorlton","Manchester","GB","Chorlton-cum-Hardy","","","","premier-league"
"NEEDS LOOKUP","BOX Deansgate","Manchester","GB","Deansgate","","","https://www.theboxbar.co.uk/","premier-league"
"NEEDS LOOKUP","Cafe Football","Manchester","GB","Trafford Park","","","https://www.football.co.uk","premier-league"
"NEEDS LOOKUP","Directors Box Manchester","Manchester","GB","Manchester city centre","","","","premier-league"
"NEEDS LOOKUP","English Lounge","Manchester","GB","High Street","","","https://www.english-lounge.com","premier-league"
"NEEDS LOOKUP","O'Malleys","Manchester","GB","City Centre","","","","premier-league"
"NEEDS LOOKUP","Old Wellington","Manchester","GB","Cathedral Gates","","","","premier-league"
"NEEDS LOOKUP","Piccadilly Tavern","Manchester","GB","Piccadilly","","","","premier-league"
"NEEDS LOOKUP","Seven Oaks","Manchester","GB","Manchester city centre","","","https://www.sevenoaks.com","premier-league"
"NEEDS LOOKUP","Shack Bar & Grill","Manchester","GB","Northern Quarter","","","","premier-league"
"NEEDS LOOKUP","The Brotherhood of Pursuits and Pastimes","Manchester","GB","Deansgate","","","","premier-league"
"NEEDS LOOKUP","The Crafty Pig","Manchester","GB","Northern Quarter","","","https://thecraftypig.co.uk/","premier-league"
"NEEDS LOOKUP","The Lost Dene","Manchester","GB","Deansgate","","","","premier-league"
"NEEDS LOOKUP","The Waldorf","Manchester","GB","Piccadilly","","","","premier-league"
"NEEDS LOOKUP","Town Hall Tavern","Manchester","GB","Tib Lane","","","","premier-league"
"NEEDS LOOKUP","442 Sports Pub","Milan","IT","Via Giulio Cesare Procaccini, 61, 20154","","","http://www.fourfourtwo.it/","serie-a"
"NEEDS LOOKUP","Bibendum","Milan","IT","Via Adelaide Ristori, 2","","","","serie-a"
"NEEDS LOOKUP","Carlsberg Ol","Milan","IT","Bastioni di Porta Nuova, 9","","","https://www.carlsbergol.it","serie-a"
"NEEDS LOOKUP","Football English Pub","Milan","IT","Zona Duomo","","","","serie-a"
"NEEDS LOOKUP","Hats Off Restaurant & Bar","Milan","IT","Via Orti, 16","","","","serie-a"
"NEEDS LOOKUP","HOF - Hall of Fame Sport Bistrot","Milan","IT","Piazza Piemonte, 8","","","","serie-a"
"NEEDS LOOKUP","Isola della Birra","Milan","IT","Via Medardo Rosso, 18","","","https://www.isoladellabirra.com","serie-a"
"NEEDS LOOKUP","La Birreria Italiana Darsena","Milan","IT","Piazzale Antonio Cantore, 4","","","","serie-a"
"NEEDS LOOKUP","Mind the Gap","Milan","IT","Via Curtatone, 5","","","","serie-a"
"NEEDS LOOKUP","Offside Sports Pub","Milan","IT","Via Losanna, 46, 20154","","","https://www.offsidesportspub.it/","serie-a"
"NEEDS LOOKUP","Overtime Sports Pub","Milan","IT","Via Luigi Settembrini, 36, 20124","","","https://www.overtimesportspub.it/","serie-a"
"NEEDS LOOKUP","Re Artu Cafe","Milan","IT","Corso Lodi, 52","","","","serie-a"
"NEEDS LOOKUP","Spiller Milano Duomo","Milan","IT","Via Larga, 8","","","","serie-a"
"NEEDS LOOKUP","The Saints and The Scholars","Milan","IT","Via Govone Giuseppe Generale, 23","","","https://www.saintsandscholars.com","serie-a"
"NEEDS LOOKUP","Bal Rock","Paris","FR","161 rue Montmartre, 75002","","","","ligue-1"
"NEEDS LOOKUP","Bel'Air Bar Jaune","Paris","FR","6 Rue Germain Pilon, 75018","","","","ligue-1"
"NEEDS LOOKUP","Comptoir Rugby Bar","Paris","FR","354 rue de Vaugirard, 75015","","","","ligue-1"
"NEEDS LOOKUP","Corcoran's Clichy","Paris","FR","110 boulevard de Clichy, 75018","","","","ligue-1"
"NEEDS LOOKUP","French Flair","Paris","FR","75 bis boulevard de Clichy, 75018","","","https://frenchflair.com","ligue-1"
"NEEDS LOOKUP","Hall's Beer Tavern","Paris","FR","68 rue Saint-Denis, 75001","","","https://www.hallsbeertavern.fr","ligue-1"
"NEEDS LOOKUP","Le Bistrot du Croissant","Paris","FR","146 rue Montmartre, 75002","","","https://www.bistrotducroissant.fr","ligue-1"
"NEEDS LOOKUP","Le Charles Quint","Paris","FR","145 Boulevard du Montparnasse, 75006","","","","ligue-1"
"NEEDS LOOKUP","Le Fut'Rax","Paris","FR","2 Rue d'Hauteville, 75010","","","","ligue-1"
"NEEDS LOOKUP","Le Komptoir","Paris","FR","27 rue Quincampoix, 75004","","","","ligue-1"
"NEEDS LOOKUP","Le Longchamp","Paris","FR","9 rue du Faubourg Montmartre, 75009","","","","ligue-1"
"NEEDS LOOKUP","Le Madeleine","Paris","FR","39 boulevard de Bonne Nouvelle, 75010","","","","ligue-1"
"NEEDS LOOKUP","Le Multiplex","Paris","FR","27 Rue Louise-Emilie de la Tour d'Auvergne, 75009","","","","ligue-1"
"NEEDS LOOKUP","Le Nul Bar Ailleurs","Paris","FR","18 rue de Cotte, 75012","","","","ligue-1"
"NEEDS LOOKUP","Le Syphax","Paris","FR","26 rue de Chateaudun, 75009","","","","ligue-1"
"NEEDS LOOKUP","Little Big Bear","Paris","FR","45 rue Monsieur le Prince, 75006","","","https://www.little-big-bear.com","ligue-1"
"NEEDS LOOKUP","Losserand Cafe","Paris","FR","77 rue Raymond Losserand, 75014","","","","ligue-1"
"NEEDS LOOKUP","The Highlander Scottish Pub","Paris","FR","8 rue de Nevers, 75006","","","","ligue-1"
"NEEDS LOOKUP","The Moose","Paris","FR","16 rue des Quatre Vents, 75006","","","https://www.the-moose.com","ligue-1"
